material,Vset,Vreset,dt,endurance,latency,energy
Al2O3,3.3081704962649914,-3.4645635668928025,5.016255229776078e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.122370876263324,-1.4070263824291218,5.0157066450531814e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
TiO2,1.0998164686035408,-3.8180413236259203,5.0191300347025936e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
TiO2,3.3428869102667322,-3.357226771506713,5.014922050739326e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.7057500800191123,-3.4706989503377055,5.019559773443369e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.356382119911169,-1.2876350259779739,5.0194823923152946e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
TiO2,3.623222795906747,-3.91057428842641,5.017069561619953e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,1.1829698841136154,-3.80882516345732,5.0147805243750765e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
HfO2,1.4301933696678997,-1.4461352406061496,5.0175795012234e-08,4112712.4947062405,8.01970031716337e-07,1.2076191435728134e-10
Al2O3,3.245638138285714,-3.208792761114663,5.019119730255517e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.755806507027364,-3.687076762702405,5.020926326190382e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.588451074291317,-1.027839307331273,5.015235398371721e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
HfO2,3.500107846829435,-3.314112502920855,5.018175218911921e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.768512498456422,-3.91432721405442,5.018837855232797e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,1.4868703046136547,-3.4853826113913784,5.0172430222743446e-08,280235856.79527503,5.2118053872618475e-08,3.871431231150524e-10
TiO2,1.200763370195059,-3.369671201424924,5.019773402888625e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
HfO2,3.6773652158123182,-0.8091175973285711,5.016874504671153e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
TiO2,3.69272807975788,-3.845541229341207,5.016008186741785e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,1.389173238159472,-3.644162173229842,5.018333887847208e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
Al2O3,1.1969383158651012,-1.0840621173387448,5.018222780034001e-08,9494787455.80712,1.0122100206899631e-06,6.163505643363987e-11
Al2O3,3.348522487465969,-3.359948836544538,5.019004702741961e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.3751344840479263,-3.668581686205462,5.017576824318857e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.41583185179001,-3.6234857059857655,5.016306242391243e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.182502342956977,-1.2944172638829632,5.016807927501691e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
HfO2,3.746969143549724,-3.5528593492315474,5.016415798223016e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.9013752965267408,-3.8628147772820802,5.017652850211963e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.780180264815445,-3.753299026196459,5.0189853710209304e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.188103237333779,-3.125941859783725,5.017037867991995e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.7250780911934847,-3.821905886104719,5.017334203110568e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,1.4276628298834144,-3.541918788952792,5.019789318368599e-08,280235856.79527503,2.385120438930244e-07,3.4019448369448924e-10
Al2O3,1.2931435689616781,-3.7566111029697105,5.016997678760167e-08,280235856.79527503,9.839580457082775e-07,2.450192791714212e-10
HfO2,3.6494070770077416,-3.678897156320937,5.019433914810808e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,1.2471170845511723,-3.6929809759543804,5.0168503952475785e-08,280235856.79527503,9.839580457082775e-07,2.450192791714212e-10
TiO2,3.7663070842460584,-3.6540110934604253,5.01707012381272e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.376661304880196,-1.391331617107829,5.016732253114276e-08,63919970.06626337,1.8488037767383503e-08,1.0705355595053145e-09
TiO2,1.105284546671699,-3.883473138005627,5.018493813787437e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
HfO2,1.4099786231666476,-3.670458483156229,5.016696208029071e-08,362287.1689926989,7.824620240626246e-07,2.905099216743423e-10
TiO2,3.683393449206605,-3.747936261941643,5.018122915436576e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.659393335430665,-3.792486621449649,5.0168999200964344e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,1.470375677844652,-1.2990838877364692,5.020833086940739e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
TiO2,1.278119311255545,-1.1947262916656833,5.0165296459672116e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
HfO2,3.186033333017254,-3.671859202048544,5.016992140512287e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.9592287617956847,-3.9791026431444583,5.019210845350111e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.350888216240854,-3.2109774499432824,5.018667475666247e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.2882181587993315,-3.459016702484474,5.0171668508112666e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.7614226213902153,-1.1013123030854808,5.018891606897624e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
HfO2,3.6560306920600816,-3.9676461276419235,5.0194017773611934e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.5842148313489854,-3.7576835342520063,5.0194412550719823e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.7045352955297988,-3.6053997905055395,5.014560335486839e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.2292910682641294,-3.2397791410233996,5.017027800811994e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.726990271536188,-3.7908580318373586,5.0179714630810594e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,1.3000848471797382,-3.626032658178023,5.0170451273478987e-08,362287.1689926989,7.824620240626246e-07,2.905099216743423e-10
HfO2,3.2140523085580646,-1.2106771412348754,5.0189063782616526e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
HfO2,3.6082614108753477,-3.625408448499918,5.0174890216480196e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.755981906919276,-3.6219686439348466,5.0192789740816895e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.540252175569921,-3.597199588989233,5.017183073226626e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.711526657235498,-3.39984002303355,5.018076750923958e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,1.0329749439003322,-3.6917160581947313,5.022101859914906e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
TiO2,1.0084133130629376,-3.7664548985975337,5.0186708374590684e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
Al2O3,3.230865012955658,-3.280384519784704,5.016964313283263e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,3.6408491579152304,-3.4527757556919823,5.0156695050714446e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.399272672825991,-1.2263753517823344,5.017394303945495e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
HfO2,3.7776843325625817,-3.884419666556014,5.0184077415235426e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.1076057895146536,-3.1754307407731757,5.017282666645576e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.6473742185978297,-3.8160392675961643,5.019423966315191e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.906313679115348,-3.934339572173783,5.017048818624781e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.195621879273621,-1.2298919885637822,5.017519019979033e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
Al2O3,3.684201867588925,-0.9734908548993508,5.014185928878857e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
TiO2,3.3471428629464555,-3.7364214712292068,5.016993137263271e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.378921151077142,-3.4439005752307623,5.016450248565118e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,1.3101809020298976,-1.444373995222008,5.0179681414676624e-08,8807908379.907408,9.882180336262536e-07,6.74761219121578e-11
HfO2,1.3308437037399659,-3.133413475181186,5.016891809179481e-08,362287.1689926989,7.824620240626246e-07,2.905099216743423e-10
HfO2,3.2829787082119024,-3.6298309560610793,5.015759814980457e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.1926081350272564,-3.2782536476247937,5.0190900644781375e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
